low,high,open,close,volume,base_currency,quote_currency,date
9.6942,11.49,10.3914,9.9112,2611716.44,BAND,USD,2021-01-09
7.5886,10.8201,8.497,10.3927,2377448.43,BAND,USD,2021-01-08
7.9099,9.7114,8.9295,8.4972,1302709.54,BAND,USD,2021-01-07
7.011,9.49,7.4535,8.9108,2230602.73,BAND,USD,2021-01-06
6.2552,7.7824,6.7553,7.4505,1017472.38,BAND,USD,2021-01-05
6.0311,7.4985,6.7614,6.7489,959474.44,BAND,USD,2021-01-04
5.9029,6.88,6.0679,6.7553,1352973.02,BAND,USD,2021-01-03
5.38,6.0853,5.5141,6.0642,770895.86,BAND,USD,2021-01-02
5.33,5.7793,5.3625,5.5197,290426.82,BAND,USD,2021-01-01
1069.42,1135.0,1087.7,1105.82,8189.20257667,ETH,EUR,2021-01-26
1067.04,1209.73,1144.38,1087.95,67837.89135698,ETH,EUR,2021-01-25
1003.15,1149.9,1013.41,1144.99,42565.03331382,ETH,EUR,2021-01-24
985.0,1047.99,1013.59,1013.62,21202.52433329,ETH,EUR,2021-01-23
856.39,1050.46,913.63,1014.52,59346.03618326,ETH,EUR,2021-01-22
891.22,1146.35,1136.28,913.5,84895.69347053,ETH,EUR,2021-01-21
1021.0,1159.99,1127.02,1136.47,68216.8241513,ETH,EUR,2021-01-20
1034.45,1188.44,1040.96,1127.47,79813.93660309,ETH,EUR,2021-01-19
981.24,1042.0,1019.93,1040.83,32614.15358702,ETH,EUR,2021-01-18
965.61,1047.31,1016.8,1019.78,39398.94769992,ETH,EUR,2021-01-17
953.15,1067.6,968.01,1016.96,43255.33703604,ETH,EUR,2021-01-16
881.01,1030.0,1012.16,968.0,71763.59761536,ETH,EUR,2021-01-15
895.64,1024.95,929.15,1011.69,57012.38936259,ETH,EUR,2021-01-14
809.0,935.78,860.0,929.15,48815.50245685,ETH,EUR,2021-01-13
824.38,946.58,888.94,860.33,84597.19931097,ETH,EUR,2021-01-12
700.0,1023.54,1020.03,889.98,227797.29299219,ETH,EUR,2021-01-11
925.79,1090.0,1037.03,1020.46,93077.86870219,ETH,EUR,2021-01-10
958.03,1057.0,993.97,1036.16,50773.92743931,ETH,EUR,2021-01-09
870.42,1039.37,998.34,994.25,110782.66587869,ETH,EUR,2021-01-08
928.0,1051.11,980.72,997.38,102177.59490596,ETH,EUR,2021-01-07
861.5,986.15,896.74,980.88,92553.19416495,ETH,EUR,2021-01-06
795.08,923.64,849.0,896.35,109073.39902519,ETH,EUR,2021-01-05
690.02,894.0,759.25,849.49,169908.70035389,ETH,EUR,2021-01-04
613.08,785.0,623.99,759.24,120260.80439098,ETH,EUR,2021-01-03
557.3,639.75,598.48,623.2,69697.2734459,ETH,EUR,2021-01-02
588.79,613.0,603.49,598.6,24750.68630738,ETH,EUR,2021-01-01
0.209135,0.218555,0.21499,0.213896,1219669.0,XLM,EUR,2021-01-26
0.214207,0.22853,0.223224,0.215268,10103077.0,XLM,EUR,2021-01-25
0.215151,0.232705,0.221376,0.223224,10852293.0,XLM,EUR,2021-01-24
0.216794,0.229274,0.221623,0.221774,8701888.0,XLM,EUR,2021-01-23
0.187206,0.231598,0.206432,0.221358,25797764.0,XLM,EUR,2021-01-22
0.2,0.243039,0.242887,0.2064,21793064.0,XLM,EUR,2021-01-21
0.227287,0.248446,0.245897,0.242531,15911949.0,XLM,EUR,2021-01-20
0.24256,0.263619,0.25214,0.246,25683014.0,XLM,EUR,2021-01-19
0.243177,0.255474,0.252072,0.25214,13161633.0,XLM,EUR,2021-01-18
0.236873,0.263533,0.240295,0.251023,26890454.0,XLM,EUR,2021-01-17
0.229125,0.257241,0.235212,0.240295,29354496.0,XLM,EUR,2021-01-16
0.215001,0.257335,0.249804,0.235181,30568119.0,XLM,EUR,2021-01-15
0.236417,0.265841,0.249808,0.249577,39026640.0,XLM,EUR,2021-01-14
0.221266,0.254994,0.228661,0.249597,31847617.0,XLM,EUR,2021-01-13
0.207143,0.256432,0.22161,0.228833,68166751.0,XLM,EUR,2021-01-12
0.16,0.232204,0.232204,0.222479,93846027.0,XLM,EUR,2021-01-11
0.203113,0.262872,0.254266,0.230441,51088396.0,XLM,EUR,2021-01-10
0.23,0.267997,0.242796,0.25414,46493310.0,XLM,EUR,2021-01-09
0.213,0.275952,0.254105,0.243113,92564572.0,XLM,EUR,2021-01-08
0.2377,0.335,0.279478,0.254391,172276413.0,XLM,EUR,2021-01-07
0.155117,0.375,0.157335,0.28217,305590689.0,XLM,EUR,2021-01-06
0.122178,0.173345,0.133766,0.157046,106766569.0,XLM,EUR,2021-01-05
